Ticker,final_score,score_basis,rating,category,price,weighted_rating,fund_rating_score,rating_cycles,rating_date,technical_score,vs50MA%,vs200MA%,RSI,VolSurge,1D%,1W%,1M%,AnnVol%,MaxDD%,AvgDollarVol,BarsFetched,RelStrength_AvgBench,RelStrength_vs_SPY,RelStrength_vs_DJI,RelStrength_vs_SPX,RelStrength_vs_IXIC,Flags,RelStrength_vs_AGG,RelStrength_vs_BND,RelStrength_vs_EFA,RelStrength_vs_VXUS,RelStrength_vs_EEM,RelStrength_vs_VNQ,RelStrength_vs_DBC,RelStrength_vs_GLD
FCEF,54.4,blended,Neutral,equity_intl,23.21,4.4,88.0,"3yr, 5yr",2026-08-31,46,-1.3,-3.1,51.4,0.65,0.7,-1.7,-4.3,13.0,-14.5,491035.0,3513,0.1,,,,,"Downtrend, MACD+, BeatingAvgBench, BeatingAllBench, LowLiquidity",,,0.1,0.1,,,,
SPUS,54.4,blended,Neutral,equity_us,58.58,4.6,92.0,"3yr, 5yr",2026-08-31,45,0.5,-0.2,58.3,0.54,0.1,-0.1,0.1,17.1,-23.2,22236059.0,5078,0.7,0.7,1.9,0.5,-0.2,"MACD+, BeatingAvgBench",,,,,,,,
WCME,54.4,blended,Neutral,equity_em,18.89,4.6,92.0,"3yr, 5yr",2026-08-31,45,-1.0,0.2,53.2,0.58,-0.3,-3.6,3.4,28.0,-15.6,271918.0,1825,-2.0,,,,,"MACD+, LowLiquidity",,,,,-2.0,,,
ONEQ,54.4,blended,Neutral,equity_us,103.89,4.4,88.0,"3yr, 5yr, 10yr",2026-08-31,46,0.5,0.1,57.8,0.73,-0.1,-0.0,1.1,19.3,-24.4,20298243.0,5077,0.8,0.7,2.0,0.5,-0.2,"MACD+, BeatingAvgBench",,,,,,,,
VOTE,54.4,blended,Neutral,equity_us,89.73,4.0,80.0,"3yr, 5yr",2026-08-31,48,-0.0,-0.8,52.9,0.79,-0.2,-0.6,-1.0,15.0,-19.6,2105931.0,4776,0.1,0.1,1.4,-0.1,-0.8,"Downtrend, MACD+, BeatingAvgBench",,,,,,,,
VSLU,54.4,blended,Neutral,equity_us,48.44,4.0,80.0,"3yr, 5yr",2026-08-31,48,0.1,-0.7,48.5,0.79,-0.2,-0.2,-1.4,15.0,-18.1,878250.0,4531,0.6,0.5,1.8,0.3,-0.3,"MACD+, BeatingAvgBench, LowLiquidity",,,,,,,,
VFMV,54.4,blended,Neutral,equity_us,142.97,4.6,92.0,"3yr, 5yr",2026-08-31,45,-0.5,-1.6,35.1,1.0,-0.3,-0.9,-2.3,11.7,-12.0,1857498.0,4193,-0.1,-0.1,1.1,-0.4,-1.0,Downtrend,,,,,,,,
VGT,54.0,blended,Neutral,equity_us,121.33,4.3,86.0,"3yr, 5yr, 10yr",2026-08-31,46,0.9,1.0,63.1,0.88,-0.0,0.1,2.4,23.5,-27.9,394525724.0,5078,0.9,0.9,2.1,0.6,-0.0,"Uptrend, MACD+, BeatingAvgBench",,,,,,,,
FTEC,54.0,blended,Neutral,equity_us,289.31,4.3,86.0,"3yr, 5yr, 10yr",2026-08-31,46,0.8,0.9,61.8,0.89,-0.1,-0.0,2.3,23.6,-27.9,63500912.0,5078,0.8,0.7,2.0,0.5,-0.2,"Uptrend, MACD+, BeatingAvgBench",,,,,,,,
XLK,54.0,blended,Neutral,equity_us,187.96,4.1,82.0,"3yr, 5yr, 10yr",2026-08-31,47,0.9,1.1,63.7,1.02,-0.0,0.0,2.6,23.7,-26.3,1084283037.0,5078,0.8,0.8,2.0,0.6,-0.1,"Uptrend, MACD+, BeatingAvgBench",,,,,,,,
